Time (s): 0
600	N: 1. 
20	P: 1. 
Time (s): 1
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 2
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 3
1	P: 2. 
599	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 4
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 5
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 6
1	P: 2. 
1	P: 2. N: 2. 
598	N: 1. 
16	P: 1. 
Time (s): 7
1	P: 2. 
600	N: 1. 
18	P: 1. 
Time (s): 8
1	P: 2. 
600	N: 1. 
18	P: 1. 
Time (s): 9
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 10
20	P: 1. 
600	N: 1. 
Time (s): 11
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 12
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 13
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 14
1	P: 2. N: 2. 
596	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 15
1	P: 2. 
599	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 16
1	P: 2. 
600	N: 1. 
18	P: 1. 
Time (s): 17
1	P: 2. N: 1. 
1	P: 2. 
598	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
Time (s): 18
1	P: 2. 
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
Time (s): 19
1	P: 2. 
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
Time (s): 20
1	P: 2. N: 2. 
596	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 21
1	P: 2. N: 2. 
592	N: 1. 
6	P: 1. N: 1. 
12	P: 1. 
Time (s): 22
20	P: 1. 
600	N: 1. 
Time (s): 23
1	P: 2. N: 2. 
598	N: 1. 
18	P: 1. 
Time (s): 24
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 25
1	P: 2. N: 1. 
598	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 26
597	N: 1. 
3	P: 1. N: 1. 
17	P: 1. 
Time (s): 27
1	P: 2. N: 1. 
1	P: 2. N: 2. 
596	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
